Timestamp,Seleccioná la opción que mejor corresponda a cada herramienta [Python],Seleccioná la opción que mejor corresponda a cada herramienta [DeepLabCut],Seleccioná la opción que mejor corresponda a cada herramienta [Rmarkdown],Seleccioná la opción que mejor corresponda a cada herramienta [EzTrack],Seleccioná la opción que mejor corresponda a cada herramienta [Bonsai],Seleccioná la opción que mejor corresponda a cada herramienta [Arduino],Seleccioná la opción que mejor corresponda a cada herramienta [Gestor de bibliografía (Zotero)],Seleccioná la opción que mejor corresponda a cada herramienta [R],Seleccioná la opción que mejor corresponda a cada herramienta [Inkscape],Seleccioná la opción que mejor corresponda a cada tema [Videotracking],Seleccioná la opción que mejor corresponda a cada tema [Machine Learning],Seleccioná la opción que mejor corresponda a cada tema [Análisis y reporte de datos],Seleccioná la opción que mejor corresponda a cada tema [Sincronización de dispositivos de un setup (estación experimental)],Seleccioná la opción que mejor corresponda a cada tema [Internet de las cosas (IoT)],Seleccioná la opción que mejor corresponda a cada tema [Confección de material gráfico (pósters)],Seleccioná la opción que mejor corresponda a cada tema [Análisis de señales],Seleccioná la opción que mejor corresponda a cada tema [Robótica],¿Conocés alguna otra herramienta abierta o se te ocurre algún tema que no se encuentra en las listas anteriores? ¿La usaste o te gustaría asistir a un taller sobre ella?,"¿Te gustaría asistir a un taller ""hands-on"" remoto para el cual te brindemos un kit de material físico? Por ej: placas microcontroladoras Arduino, elementos de electrónica, sensores.","Si te gustaría realizar el taller ""hands-on"" remoto, ¿cuál de estos temas te interesaría?","Si te gustaría realizar el taller ""hands-on"" remoto, ¿te parece que podrías disponer de parte de los fondos para adquirir el kit?",¿Asististe a alguno de nuestros encuentros anteriores?,¿Querés hacer algún comentario acerca de los talleres que ya hemos brindado?,"¿Querés brindar un taller para estudiantes de neurociencias sobre alguna herramienta abierta copada en base a tu experiencia? Contanos brevemente y dejanos un contacto. Si conocés a alguien que le interese, por favor, ¡invitale a llenar este formulario!",Etapa de la carrera,Carrera de grado,En que provincia trabajás (por favor indicá ciudad y país si no es en Argentina),Programo...,Lenguajes de programación que utilizás frecuentemente,En tu grupo de trabajo se usa software open source,En tu grupo de trabajo se usa hardware open source,Encuentro que la falta de capacitación en hardware y software es un factor limitante para mi trabajo,Encuentro que la falta de financiamiento para hardware y software es un factor limitante para mi trabajo,Los materiales para reproducir mis investigaciones están en un repositorio público,
5/5/2021 17:04:30,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,,Quiero asistir a un taller sobre esto,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Quiero asistir a un taller sobre esto,,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Doctorando,Bioquímica,CABA,Una vez al año,Ninguno,No sé,No sé,3,1,No,
5/5/2021 17:14:46,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero no lo uso,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)",No puedo disponer de fondos para un kit,"C1E1: Programación para análisis y visualización de datos en Python y Google Colab, Encuentros con BA Laboratorio Tecnológico",,,Doctorando,Biología,CABA,Una vez por semana,Python,No,No,4,4,No,
5/5/2021 17:28:57,Lo conozco pero nunca usé,No lo conozco,No lo conozco,,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo uso/usé,Lo conozco pero no lo uso,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,,Sí,Automatización de una estación comportamental (sensores y actuadores),No puedo disponer de fondos para un kit,No asistí,,,cpa,bioquimico,Córdoba,Nunca,Ninguno,No sé,No,1,3,No,
5/5/2021 17:38:27,Quiero asistir a un taller sobre esto,,,,,,,Quiero asistir a un taller sobre esto,,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,,,,,,No,"No tengo interés en realizar un taller ""hands-on"" remoto","No tengo interés en realizar un taller práctico ""hands-on""",C1E1: Programación para análisis y visualización de datos en Python y Google Colab,,,Estudiante de grado,Psicología,Buenos Aires,Más de una vez por semana,"Python, R, Javascript",Sí,No sé,3,3,Código + Documentación + Datos con ejemplos reproducibles,
5/5/2021 19:30:07,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,Lo uso/usé,Lo conozco pero no lo uso,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Podría ser computación en paralelo,No,"No tengo interés en realizar un taller ""hands-on"" remoto","No tengo interés en realizar un taller práctico ""hands-on""",No asistí,,,Post-doc,Física,Buenos Aires,Más de una vez por semana,"Python, Matlab, C",Sí,No sé,3,3,No,
5/5/2021 20:05:16,Lo uso/usé,Lo uso/usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Quiero asistir a un taller sobre esto,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",No asistí,,,Post-doc,Biología,CABA,Una vez al año,Python,Sí,No,5,2,Código + Documentación,
5/5/2021 20:30:50,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero no lo uso,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero no lo uso,,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Licenciada queriendo involucrarme más en el rubro,Comunicación,Buenos Aires,Nunca,Ninguno,No sé,No sé,1,1,No,
5/5/2021 21:32:36,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,No lo conozco,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",Los vi por YouTube,Creo que son muy útiles para la comunidad científica autodidacta!,,Estudiante de grado,Psicología,Buenos Aires,Una vez al año,"Python, R",Sí,No sé,5,2,Código + Documentación,
5/5/2021 23:14:44,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,Lo uso/usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,,Amé la idea del kit arduino! ,Automatización de una estación comportamental (sensores y actuadores),"Sí, hasta ARS$1000",No asistí,,,Doctorando,Biología,Buenos Aires,Nunca,Ninguno,No,No sé,5,3,No,
5/6/2021 8:57:57,Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,Lo uso/usé,Lo conozco pero no lo uso,Lo uso/usé,Lo uso/usé,No lo conozco,Lo uso/usé,Lo uso/usé,Lo conozco pero no lo uso,QuPath,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$3000 y ARS$5000",No asistí,,,Investigador/a,Biología,CABA,Una vez al año,"R, labview",Sí,Sí,2,5,No,
5/6/2021 9:03:18,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,Utilizo Bio-render para gráficos. Me gustaría asistir al taller porque me doy cuenta que no conozco la mayoría de las herramientas que nombran.,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",Los vi por YouTube,,,Doctorando,Bioquímica ,Buenos Aires,Nunca,Ninguno,No sé,No sé,4,3,No,
5/6/2021 9:45:22,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,No lo conozco,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,"Me gustaría un taller sobre R para principiantes, es que decir muy básicos. Soy psicológa, trabajo en neurociencias y los que venimos de carreras sociales sabemos de estadística pero no de uso de herramientas. Los cursos disponibles suelen ser demasiado difíciles para nosotros. Debería ser un curso bien desde cero y creo que tendrían una gran comunidad interesada en hacerlo",No,"No tengo interés en realizar un taller ""hands-on"" remoto","No tengo interés en realizar un taller práctico ""hands-on""",No asistí,,,Investigador/a,Psicología,CABA,Nunca,R,Sí,Sí,5,3,Código + Documentación,
5/6/2021 11:29:55,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub, C1E3: Placa controladora Arduino, C1E4: Fabricación digital: diseño CAD con FreeCAD e impresión 3D",,,Doctorando,Biología,CABA,Una vez al año,"Python, Matlab, R",Sí,Sí,4,3,No,
5/6/2021 11:58:17,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,Lo uso/usé,Lo uso/usé,No lo conozco,,Lo uso/usé,Lo uso/usé,No lo conozco,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$3000 y ARS$5000",No asistí,,Soy especialista en IoT. Puedo dar un taller gratis sobre diversas herramientas de hardware y software.,Graduado,Ingeniero electrónico,La Pampa,Una vez por semana,"Python, C, Javascript",Sí,Sí,1,1,Código + Documentación,
5/6/2021 12:03:08,"Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, hasta ARS$1000",No asistí,,,Estudiante de grado,Computación,CABA,Más de una vez por semana,"Python, Java, Javascript",Sí,Sí,4,2,No,
5/6/2021 14:11:52,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",mapeo. usé pero me gustaría asistir a un taller.,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$3000 y ARS$5000",Encuentros con BA Laboratorio Tecnológico,¡Me gustaría poder asistir a los que no asistí!,,Post-doc,Biología,Neuquén,Una vez al año,R,No,No,2,5,No,
5/6/2021 15:53:27,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",,,"Lo uso/usé, Quiero asistir a un taller sobre esto",Lo uso/usé,,,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",Quiero asistir a un taller sobre esto,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",,,,,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",Encuentros con BA Laboratorio Tecnológico,,,Investigador/a,Biología,CABA,Una vez por semana,"Python, Matlab",Sí,Sí,4,4,No,
5/6/2021 16:21:57,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,"No lo conozco, Lo conozco pero no lo uso",Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,No lo conozco,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,Lo conozco pero no lo uso,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E3: Placa controladora Arduino",Excelentes!,,Doctorando,Biología,CABA,Nunca,Ninguno,Sí,No,5,5,No,
5/6/2021 18:29:03,Lo uso/usé,No lo conozco,Lo uso/usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo conozco pero nunca usé,Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,Lo uso/usé,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo uso/usé,Lo uso/usé,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, entre ARS$1000 y ARS$3000",C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub,,,Doctorando,Biología,CABA,Más de una vez por semana,"Python, Matlab",Sí,No,3,4,No,
5/6/2021 18:44:08,Lo uso/usé,No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,No lo conozco,Lo uso/usé,Lo uso/usé,No lo conozco,Lo conozco pero no lo uso,Lo uso/usé,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo uso/usé,"Micro-Manager, FreeCAD Assembly, KiCAD, OBS, Linux, robótica y automatización, soldadura  con estaño y soldadura posta, como hacer cerveza.","Si, pero no hace falta el kit (tengo cosas en casa)","Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000",C1E4: Fabricación digital: diseño CAD con FreeCAD e impresión 3D,Nop,"R, electrónica con arduino, FreeCAD, GNU/Linux, self-hosting, Robots (arduino/GRBL), impresión 3D, Inkscape, técnicas básicas de biología molecular, Ardour DAG, conceptos de óptica para microscopía y fotografía. Todo a nivel básico/introductorio (excepto R). Me escriben por mal, encantado de acoplarme a talleres existentes.",Doctorando,Biotecnología,Buenos Aires,Más de una vez por semana,"Python, R, algo cazo de BASH, C, y Javascript",Sí,No,4,4,No,
5/6/2021 19:14:26,Lo uso/usé,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Lo uso/usé,Lo uso/usé,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Lo uso/usé,Instrumentación Virtual, Creación de App para Android,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000",No asistí,,,Doctorando,Ingeniería Electrónica,CABA,Más de una vez por semana,Python,Sí,Sí,3,3,No
5/6/2021 19:25:52,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$3000 y ARS$5000","C1E3: Placa controladora Arduino, C1E4: Fabricación digital: diseño CAD con FreeCAD e impresión 3D",,,Post-doc,Ingeniería Electrónica,CABA,Más de una vez por semana,"Matlab, C, Java",Sí,No,1,3,No,
5/6/2021 21:42:32,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Lo conozco pero nunca usé,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Lo conozco pero no lo uso,Lo uso/usé,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Doctorando,Física,CABA,Más de una vez por semana,Python,Sí,Sí,3,1,Código,
5/7/2021 12:00:21,Lo conozco pero nunca usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",nop,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000",No asistí,no asisti,ok,Estudiante de grado,"Artes plásticas, escultura.","Voy y vengo entre Buenos Aires y Córdoba, vivo en ambas ciudades dependiendo el mes",Una vez al año,html,No,No,4,5,No,
5/7/2021 12:44:21,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto",Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,,,,Sí,Automatización de una estación comportamental (sensores y actuadores),No puedo disponer de fondos para un kit,No asistí,,,Investigador/a,Ciencias Ambientales,Buenos Aires,Nunca,Ninguno,No,No,2,1,No,
5/9/2021 0:26:37,Quiero asistir a un taller sobre esto,,,,,Lo conozco pero nunca usé,,"Lo uso/usé, Quiero asistir a un taller sobre esto",,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,spark,Sí,"No tengo interés en realizar un taller ""hands-on"" remoto","No tengo interés en realizar un taller práctico ""hands-on""","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub, C1E3: Placa controladora Arduino",,,Investigador/a,Computación,lima,Más de una vez por semana,"Python, Java",Sí,No,5,5,No,
